%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+4.744e+00
2	2	+4.744e+00	+3.072e+00
3	3	+7.816e+00	+4.320e+00
2	2	+1.214e+01	+3.063e-01
3	3	+1.244e+01	+1.453e+00
2	2	+1.390e+01	+1.219e+00
3	3	+1.511e+01	+1.470e+00
2	2	+1.658e+01	+3.236e+00
1	1	+1.982e+01	+1.024e+00
2	2	+2.084e+01	+2.880e-01
3	3	+2.113e+01	+1.541e+00
2	2	+2.267e+01	+1.475e+00
3	3	+2.415e+01	+2.683e+00
2	2	+2.683e+01	+1.935e+00
1	1	+2.877e+01	+2.981e+00
2	2	+3.175e+01	+5.623e-01
1	1	+3.231e+01	+2.004e+00
2	2	+3.431e+01	+4.465e-02
3	3	+3.436e+01	+6.144e-01
2	2	+3.497e+01	+8.614e-01
1	1	+3.583e+01	+3.017e+00
2	2	+3.885e+01	+4.452e+00
3	3	+4.330e+01	+6.995e-02
2	2	+4.337e+01	+2.877e+00
3	3	+4.625e+01	+4.646e+00
2	2	+5.090e+01	+3.463e+00
1	1	+5.436e+01	+6.486e-01
3	3	+5.501e+01	+1.728e+00
2	2	+5.674e+01	+3.365e-01
1	1	+5.707e+01	+2.510e+00
3	3	+5.958e+01	+1.658e+00
2	2	+6.124e+01	+1.297e-01
3	3	+6.137e+01	+1.915e+00
2	2	+6.329e+01	+2.598e+00
3	3	+6.588e+01	+7.570e-02
2	2	+6.596e+01	+9.956e-01
1	1	+6.696e+01	+9.413e-01
3	3	+6.790e+01	+1.300e+00
2	2	+6.920e+01	+8.161e-01
1	1	+7.001e+01	+5.245e+00
3	3	+7.526e+01	+2.049e+00
2	2	+7.731e+01	+2.046e+00
1	1	+7.935e+01	+5.631e-01
3	3	+7.992e+01	+1.425e+00
2	2	+8.134e+01	+3.351e+00
1	1	+8.469e+01	+1.842e-01
3	3	+8.488e+01	+2.397e+00
2	2	+8.727e+01	+4.954e-01
3	3	+8.777e+01	+2.702e+00
2	2	+9.047e+01	+7.750e-01
3	3	+9.125e+01	+2.795e-01
2	2	+9.153e+01	+1.289e-01
1	1	+9.165e+01	+2.585e-01
2	2	+9.191e+01	+3.425e+00
1	1	+9.534e+01	+6.220e-01
2	2	+9.596e+01	+2.062e+00
3	3	+9.802e+01	+2.888e+00
2	2	+1.009e+02	+1.640e-01
1	1	+1.011e+02	+1.862e+00
2	2	+1.029e+02	+1.396e+00
3	3	+1.043e+02	+1.617e-01
2	2	+1.045e+02	+1.054e-02
1	1	+1.045e+02	+4.035e+00
3	3	+1.085e+02	+1.932e+00
2	2	+1.105e+02	+8.077e-01
1	1	+1.113e+02	+1.073e-01
3	3	+1.114e+02	+4.250e-01
2	2	+1.118e+02	+8.696e-01
1	1	+1.127e+02	+1.008e+00
2	2	+1.137e+02	+4.496e-01
1	1	+1.141e+02	+9.342e-01
3	3	+1.151e+02	+3.644e+00
2	2	+1.187e+02	+2.668e+00
1	1	+1.214e+02	+2.456e+00
2	2	+1.238e+02	+3.867e-01
3	3	+1.242e+02	+1.050e+00
2	2	+1.253e+02	+1.364e+00
3	3	+1.266e+02	+1.967e+00
2	2	+1.286e+02	+5.398e+00
3	3	+1.340e+02	+3.183e+00
2	2	+1.372e+02	+9.892e-01
3	3	+1.382e+02	+2.405e+00
2	2	+1.406e+02	+7.472e-01
3	3	+1.413e+02	+5.415e-01
2	2	+1.419e+02	+1.821e+00
1	1	+1.437e+02	+3.073e+00
2	2	+1.468e+02	+3.336e+00
3	3	+1.501e+02	+5.029e+00
1	1	+1.551e+02	+6.803e-01
3	3	+1.558e+02	+2.689e+00
2	2	+1.585e+02	+5.054e-01
3	3	+1.590e+02	+8.942e-01
1	1	+1.599e+02	+5.256e-01
2	2	+1.604e+02	+9.532e-01
1	1	+1.614e+02	+1.579e+00
3	3	+1.630e+02	+6.560e+00
2	2	+1.695e+02	+1.732e-02
3	3	+1.695e+02	+6.266e+00
2	2	+1.758e+02	+9.778e-01
3	3	+1.768e+02	+2.288e+00
2	2	+1.791e+02	+2.320e+00
1	1	+1.814e+02	+5.246e-02
2	2	+1.814e+02	+1.113e+00
1	1	+1.826e+02	+4.618e-01
2	2	+1.830e+02	+4.163e+00
1	1	+1.872e+02	+2.515e-01
2	2	+1.874e+02	+5.142e-01
1	1	+1.879e+02	+9.943e-01
3	3	+1.889e+02	+2.549e+00
2	2	+1.915e+02	+4.275e+00
3	3	+1.958e+02	+1.389e+00
2	2	+1.971e+02	+7.334e-03
1	1	+1.972e+02	+1.132e+00
2	2	+1.983e+02	+1.255e+00
1	1	+1.995e+02	+3.867e-01
2	2	+1.999e+02	+6.979e-02
0	0	+2.000e+02	+Inf
