%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	-1.528e+02	+3.923e+03	+9.488e+03	+1.041
0.100	-6.440e+02	+7.306e+03	+7.499e+03	+1.097
0.200	+1.421e+03	+6.004e+03	+9.661e+03	+0.809
0.300	+1.328e+03	+6.839e+03	+1.066e+04	+0.837
0.400	+3.941e+02	+7.211e+03	+1.152e+04	+0.948
0.500	-2.645e+02	+7.176e+03	+8.510e+03	+1.038
0.600	+2.227e+03	+6.148e+03	+9.364e+03	+0.734
0.700	+1.376e+03	+8.203e+03	+1.196e+04	+0.856
0.800	+1.514e+03	+7.181e+03	+1.102e+04	+0.826
0.900	-2.174e+02	+7.680e+03	+1.113e+04	+1.029
1.000	+1.195e+03	+7.777e+03	+1.163e+04	+0.867
1.100	+1.962e+03	+6.104e+03	+1.104e+04	+0.757
1.200	+2.279e+03	+7.176e+03	+9.678e+03	+0.759
1.300	+2.402e+03	+5.980e+03	+8.123e+03	+0.713
1.400	+1.250e+03	+6.496e+03	+1.130e+04	+0.839
1.500	+4.249e+02	+6.420e+03	+8.815e+03	+0.938
1.600	+1.045e+03	+6.076e+03	+1.173e+04	+0.853
1.700	+1.107e+03	+5.396e+03	+9.721e+03	+0.830
1.800	+8.381e+02	+6.715e+03	+9.332e+03	+0.889
1.900	+1.545e+03	+6.507e+03	+9.171e+03	+0.808
2.000	+9.014e+01	+7.296e+03	+1.089e+04	+0.988
2.100	-5.419e+02	+4.987e+03	+8.785e+03	+1.122
2.200	+1.362e+03	+8.151e+03	+1.042e+04	+0.857
2.300	+1.261e+03	+6.731e+03	+6.883e+03	+0.842
2.400	+8.093e+02	+9.440e+03	+9.491e+03	+0.921
2.500	+1.489e+03	+7.188e+03	+1.009e+04	+0.828
2.600	+5.686e+02	+6.942e+03	+8.971e+03	+0.924
2.700	+2.371e+02	+5.641e+03	+8.987e+03	+0.960
2.800	+2.953e+02	+8.353e+03	+9.659e+03	+0.966
2.900	+1.621e+03	+5.578e+03	+1.090e+04	+0.775
3.000	+2.920e+03	+5.659e+03	+1.060e+04	+0.660
3.100	+4.159e+03	+5.923e+03	+7.877e+03	+0.588
3.200	+3.177e+03	+5.671e+03	+1.146e+04	+0.641
3.300	+3.762e+03	+5.819e+03	+9.638e+03	+0.607
3.400	+4.052e+03	+5.902e+03	+1.046e+04	+0.593
3.500	+3.580e+03	+6.811e+03	+9.990e+03	+0.655
3.600	+3.810e+03	+4.600e+03	+9.184e+03	+0.547
3.700	+3.677e+03	+4.891e+03	+1.173e+04	+0.571
3.800	+6.396e+03	+5.739e+03	+9.519e+03	+0.473
3.900	+4.833e+03	+3.763e+03	+1.039e+04	+0.438
4.000	+3.219e+03	+5.599e+03	+9.272e+03	+0.635
4.100	+3.827e+03	+4.689e+03	+1.148e+04	+0.551
4.200	+5.180e+03	+5.956e+03	+1.117e+04	+0.535
4.300	+4.853e+03	+5.784e+03	+1.090e+04	+0.544
4.400	+3.719e+03	+6.806e+03	+7.875e+03	+0.647
4.500	+4.104e+03	+5.854e+03	+9.945e+03	+0.588
4.600	+2.825e+03	+4.813e+03	+8.245e+03	+0.630
4.700	+4.939e+03	+7.860e+03	+8.491e+03	+0.614
4.800	+3.684e+03	+4.873e+03	+9.346e+03	+0.569
4.900	+5.530e+03	+6.788e+03	+8.393e+03	+0.551
5.000	+5.761e+03	+6.484e+03	+6.927e+03	+0.530
5.100	+3.370e+03	+6.431e+03	+1.059e+04	+0.656
5.200	+3.862e+03	+4.483e+03	+8.312e+03	+0.537
5.300	+4.244e+03	+5.592e+03	+1.029e+04	+0.569
5.400	+4.202e+03	+5.867e+03	+1.082e+04	+0.583
5.500	+4.920e+03	+5.215e+03	+1.097e+04	+0.515
5.600	+5.509e+03	+6.334e+03	+9.589e+03	+0.535
5.700	+2.123e+03	+5.159e+03	+1.071e+04	+0.708
5.800	+2.084e+03	+4.835e+03	+7.647e+03	+0.699
5.900	+4.154e+03	+4.364e+03	+1.140e+04	+0.512
6.000	+1.472e+03	+4.260e+03	+1.039e+04	+0.743
6.100	+1.729e+03	+6.333e+03	+8.540e+03	+0.786
6.200	+5.940e+01	+7.609e+03	+8.597e+03	+0.992
6.300	+2.198e+03	+6.571e+03	+1.011e+04	+0.749
6.400	+6.897e+02	+5.756e+03	+1.187e+04	+0.893
6.500	+1.287e+03	+6.886e+03	+1.312e+04	+0.843
6.600	+8.874e+02	+7.897e+03	+1.120e+04	+0.899
6.700	+6.122e+02	+7.388e+03	+8.410e+03	+0.923
6.800	+1.992e+03	+7.720e+03	+1.161e+04	+0.795
6.900	+1.449e+03	+4.962e+03	+1.004e+04	+0.774
7.000	+1.952e+03	+6.445e+03	+9.268e+03	+0.768
7.100	+1.386e+03	+6.615e+03	+9.278e+03	+0.827
7.200	+4.299e+02	+7.012e+03	+8.005e+03	+0.942
7.300	+4.867e+02	+6.929e+03	+1.091e+04	+0.934
7.400	+7.172e+01	+7.595e+03	+8.207e+03	+0.991
7.500	-1.874e+02	+8.302e+03	+7.434e+03	+1.023
7.600	-3.216e+01	+6.095e+03	+1.054e+04	+1.005
7.700	+1.080e+03	+5.226e+03	+1.221e+04	+0.829
7.800	+1.883e+03	+6.365e+03	+9.092e+03	+0.772
7.900	+1.949e+03	+7.550e+03	+1.197e+04	+0.795
8.000	+3.277e+02	+7.663e+03	+8.641e+03	+0.959
8.100	+1.405e+03	+7.821e+03	+8.312e+03	+0.848
8.200	+1.221e+03	+8.231e+03	+1.030e+04	+0.871
8.300	+1.109e+03	+5.653e+03	+1.089e+04	+0.836
8.400	+2.381e+03	+8.228e+03	+8.687e+03	+0.776
8.500	+1.253e+03	+6.725e+03	+9.255e+03	+0.843
8.600	+9.524e+02	+5.333e+03	+1.044e+04	+0.848
8.700	-3.288e+02	+4.955e+03	+9.592e+03	+1.071
8.800	+9.038e+02	+7.146e+03	+1.012e+04	+0.888
8.900	+2.138e+03	+5.607e+03	+9.335e+03	+0.724
9.000	-2.361e+02	+6.684e+03	+1.166e+04	+1.037
9.100	+1.216e+03	+9.679e+03	+1.337e+04	+0.888
9.200	+2.252e+03	+8.485e+03	+8.299e+03	+0.790
