%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+4.353e+03	+4.459e+01	+7.372e+03	+0.010
0.200	+5.526e+03	+1.628e+03	+7.159e+03	+0.228
0.400	+5.553e+03	+8.211e+02	+7.075e+03	+0.129
0.600	+4.747e+03	+5.026e+02	+6.054e+03	+0.096
0.800	+5.807e+03	-2.273e+02	+6.016e+03	-0.041
1.000	+6.946e+03	+2.169e+02	+6.783e+03	+0.030
1.200	+5.411e+03	-1.185e+02	+7.938e+03	-0.022
1.400	+5.676e+03	+1.183e+03	+8.206e+03	+0.173
1.600	+6.305e+03	+5.939e+02	+6.580e+03	+0.086
1.800	+4.893e+03	+1.644e+03	+7.635e+03	+0.252
2.000	+3.338e+03	+3.207e+03	+6.651e+03	+0.490
2.200	+1.598e+03	+4.860e+03	+7.467e+03	+0.753
2.400	+1.150e+03	+5.643e+03	+8.129e+03	+0.831
2.600	+2.189e+03	+4.217e+03	+9.175e+03	+0.658
2.800	+4.900e+03	+4.072e+02	+6.985e+03	+0.077
3.000	+6.667e+03	+4.969e+02	+7.391e+03	+0.069
3.200	+6.152e+03	+1.238e+03	+6.232e+03	+0.168
3.400	+5.569e+03	+2.257e+03	+8.521e+03	+0.288
3.600	+6.192e+03	+6.804e+02	+8.020e+03	+0.099
3.800	+6.053e+03	+8.018e+02	+7.150e+03	+0.117
4.000	+5.115e+03	+2.291e+03	+7.193e+03	+0.309
4.200	+4.028e+03	+9.432e+02	+6.645e+03	+0.190
4.400	+5.971e+03	+1.993e+03	+6.450e+03	+0.250
4.600	+5.327e+03	+1.413e+03	+6.400e+03	+0.210
4.800	+4.918e+03	+1.577e+03	+7.283e+03	+0.243
5.000	+7.163e+03	-1.809e+01	+4.428e+03	-0.003
5.200	+5.603e+03	-7.247e+01	+8.453e+03	-0.013
5.400	+5.351e+03	+7.698e+02	+7.811e+03	+0.126
5.600	+4.412e+03	+1.295e+03	+7.873e+03	+0.227
5.800	+4.249e+03	-1.639e+02	+7.876e+03	-0.040
6.000	+6.120e+03	+4.195e+02	+9.265e+03	+0.064
6.200	+6.627e+03	+1.152e+03	+7.615e+03	+0.148
